연도,시도,입학자수,,전문대학,,교육대학,,일반대학,,방송통신대학,,산업대학,,기술대학,,각종학교,,원격및사이버대학,,사내대학,,전공대학,,기능대학,,대학원,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,계,,석사,,박사,
,,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여
2020,부산,53799,27311,11054,6174,386,226,32459,15596,0,0,0,0,0,0,0,0,1363,993,0,0,0,0,437,17,8100,4305,6291,3439,1809,866
2021,부산,50377,25491,9671,5528,383,231,30539,14601,0,0,0,0,0,0,0,0,1234,894,0,0,0,0,410,19,8140,4218,6242,3340,1898,878
1999,대구,37004,17264,21970,10246,590,429,10892,5264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3552,1325,3031,1192,521,133
2000,대구,38387,19068,23037,11425,617,448,10901,5635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3832,1560,3226,1391,606,169
2001,대구,37803,18614,22714,11214,570,402,10691,5364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3828,1634,3198,1431,630,203
2002,대구,35435,17285,20827,10267,563,399,10075,4850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3970,1769,3322,1543,648,226
2003,대구,31721,15808,17044,8689,572,405,9999,4816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4106,1898,3435,1658,671,240
2004,대구,32727,15919,17031,8415,634,395,10350,4738,0,0,0,0,0,0,0,0,468,330,0,0,0,0,0,0,4244,2041,3634,1822,610,219
2005,대구,32308,15668,16591,8238,631,431,10467,4792,0,0,0,0,0,0,0,0,531,350,0,0,0,0,0,0,4088,1857,3426,1618,662,239
2006,대구,33835,16214,17425,8170,629,403,10605,5006,0,0,0,0,0,0,0,0,644,406,0,0,0,0,0,0,4532,2229,3852,1986,680,243
2007,대구,34429,16190,18292,8452,580,409,10086,4586,0,0,0,0,0,0,0,0,908,532,0,0,0,0,0,0,4563,2211,3799,1918,764,293
2008,대구,34158,16385,17742,8275,556,352,10261,4826,0,0,0,0,0,0,0,0,1095,571,0,0,0,0,0,0,4504,2361,3833,2077,671,284
2009,대구,34129,16514,17773,8424,564,385,10002,4706,0,0,0,0,0,0,0,0,1099,605,0,0,0,0,0,0,4691,2394,4042,2120,649,274
2010,대구,35115,17217,18849,9046,529,367,9948,4785,0,0,0,0,0,0,0,0,1104,624,0,0,0,0,0,0,4685,2395,4000,2076,685,319
2011,대구,36238,17781,18842,9102,475,307,9854,4775,0,0,0,0,0,0,0,0,1697,1050,0,0,0,0,808,143,4562,2404,3909,2084,653,320
2012,대구,35712,17491,18361,8812,410,291,9875,4855,0,0,0,0,0,0,0,0,1732,1151,0,0,0,0,805,157,4529,2225,3799,1907,730,318
2013,대구,36138,17499,17641,8611,421,289,10720,4887,0,0,0,0,0,0,0,0,1723,1127,0,0,0,0,845,140,4788,2445,4026,2097,762,348
2014,대구,35189,17290,17041,8426,418,289,10717,5010,0,0,0,0,0,0,0,0,1703,1141,0,0,0,0,854,145,4456,2279,3770,1964,686,315
2015,대구,34600,17022,16340,8069,417,287,10670,5139,0,0,0,0,0,0,0,0,1714,1116,0,0,0,0,848,124,4611,2287,3907,1970,704,317
2016,대구,34015,17009,16126,7872,410,265,10306,5279,0,0,0,0,0,0,0,0,1719,1105,0,0,0,0,816,126,4638,2362,3850,2030,788,332
2017,대구,33339,16523,15784,7783,412,262,10200,4996,0,0,0,0,0,0,0,0,1732,1150,0,0,0,0,771,110,4440,2222,3653,1894,787,328
2018,대구,32843,16334,15635,7666,415,260,10179,4932,0,0,0,0,0,0,0,0,1627,1062,0,0,0,0,637,92,4350,2322,3546,1962,804,360
2019,대구,33246,16500,15943,7809,412,259,10184,4892,0,0,0,0,0,0,0,0,1601,1077,0,0,0,0,536,73,4570,2390,3695,2014,875,376
2020,대구,33107,16701,15358,7725,413,265,10257,4904,0,0,0,0,0,0,0,0,1785,1158,0,0,0,0,451,61,4843,2588,3847,2136,996,452
2021,대구,31027,15767,13902,7073,417,244,10087,4715,0,0,0,0,0,0,0,0,1726,1218,0,0,0,0,360,40,4535,2477,3674,2130,861,347
1999,인천,21026,9289,12528,6518,578,371,5958,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,490,1749,466,213,24
2000,인천,21165,10075,12525,7025,660,404,5929,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2051,601,1824,571,227,30
2001,인천,21869,10300,12917,7004,661,402,6090,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2201,724,1969,680,232,44
2002,인천,22346,10937,13517,7414,653,434,5849,2245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2327,844,2063,795,264,49
2003,인천,22208,10971,13412,7431,663,411,5994,2310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2139,819,1935,769,204,50
